Decyzja Klasyfikacyjna;Artykuł Skazania;Korzyść majątkowa;środki odurzające;wiek obecnie;wiek w czasie popełnienia czynu;długośćwykonywanej kary;pozostały okres kary;stan cywilny;dzieci;miejsce przebywania rodziny;wykształcenie;liczba telefonów;telefony po zmianach;korespondencja;widzenia;przepustki losowe;przepustki w formie nagrody;przepustki regulaminowe;inne formy kontaktu;szczepienie;miejsce szczepienia;kompensacja widzeń ;kompensacja długością telefonów;kontakt z obrońcą;częstsza korespondencja;poczucie bezpieczeństwa;działania administracji;;Zakład
R2;286§1;C - NIE;C - NIE;E - >51;E - >51;A - 1- 6 mc;A - 1- 6 mc;B - rozwiedziony;E - 4;C - 30-100 km;D - zasadn. Zawodowe;D - rzadziej;B - tyle sam;D - raczej nie;A - raczej nie;A - 0;A - 0;A - 0;B - zatrudn;A - tak;B - poza ZK;A - TAK;B - NIE;B - NIE;C - trudno powiedzieć;B - raczej tak;C - trudno powiedzieć;;2
R2;;C - NIE;A - WOLĘ NIE ODP. ;D - 41 - 50;D - 41 - 50;A - 1- 6 mc;A - 1- 6 mc;A - zw. małżeński;E - 4;C - 30-100 km;B - podstawowe;D - rzadziej;B - tyle sam;C - rzadziej;B - raz na kilka mc;A - 0;A - 0;A - 0;B - zatrudn;B - nie;;B - NIE;B - NIE;B - NIE;D - raczej nie;B - raczej tak;C - trudno powiedzieć;;2
R2;278;B - TAK;B - TAK;C - 31-40;C - 31-40;D - 2 lata i 1 mc - 6 lat;C - 1 rok i 1 mc - 2 lata;F - wolny;A -  0 ;C - 30-100 km;D - zasadn. Zawodowe;A - racz. Codziennie;B - tyle sam;C - rzadziej;D - dwa razy w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;A - TAK;B - NIE;B - NIE;B - raczej tak;D - raczej nie;B - raczej dobrze;;2
R2Z;286§1;B - TAK;C - NIE;C - 31-40;C - 31-40;C - 1 rok i 1 mc - 2 lata;C - 1 rok i 1 mc - 2 lata;E - w związku partnerskim;A -  0 ;A - w mieście;C - gimnazjalne;A - racz. Codziennie;B - tyle sam;D - raczej nie;C - raz w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;A - TAK;B - NIE;B - NIE;E - zdecydowanie nie;B - raczej tak;C - trudno powiedzieć;;2
R2D;244;C - NIE;C - NIE;C - 31-40;C - 31-40;C - 1 rok i 1 mc - 2 lata;C - 1 rok i 1 mc - 2 lata;E - w związku partnerskim;B - 1;C - 30-100 km;H - wyższe;A - racz. Codziennie;B - tyle sam;B - parę w mc;E - trzy razy w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;B - nie;;A - TAK;B - NIE;A - TAK;A - zdecydowanie tak;C - trudno powiedzieć;C - trudno powiedzieć;;2
R2;209;C - NIE;C - NIE;D - 41 - 50;A - <21;B - 7 mc - 1 rok;A - 1- 6 mc;E - w związku partnerskim;C - 2;B - okolice zakł. Maks 30 km;B - podstawowe;A - racz. Codziennie;B - tyle sam;B - parę w mc;C - raz w mc;A - 0;A - 0;A - 0;E - inne;B - nie;;A - TAK;B - NIE;B - NIE;B - raczej tak;E - zdecydowanie nie;C - trudno powiedzieć;;2
R2;;B - TAK;C - NIE;C - 31-40;C - 31-40;D - 2 lata i 1 mc - 6 lat;C - 1 rok i 1 mc - 2 lata;B - rozwiedziony;B - 1;C - 30-100 km;D - zasadn. Zawodowe;A - racz. Codziennie;B - tyle sam;B - parę w mc;C - raz w mc;A - 0;C - 2;B - 1;A - nauka poza;A - tak;B - poza ZK;B - NIE;B - NIE;B - NIE;D - raczej nie;D - raczej nie;D - raczej zle;;2
R2Z;280§1;B - TAK;B - TAK;B - 22-30;B - 22-30;A - 1- 6 mc;D - 2 lata i 1 mc - 6 lat;A - zw. małżeński;B - 1;B - okolice zakł. Maks 30 km;D - zasadn. Zawodowe;B - parę w tyg.;B - tyle sam;A - parę w tyg.;A - raczej nie;A - 0;A - 0;A - 0;D - telewizja, radio..;B - nie;;A - TAK;B - NIE;A - TAK;C - trudno powiedzieć;B - raczej tak;E - bardzo zle;;2
R2P;280§1;A - WOLĘ NIE ODP.;A - WOLĘ NIE ODP. ;C - 31-40;C - 31-40;A - 1- 6 mc;B - 7 mc - 1 rok;A - zw. małżeński;A -  0 ;A - w mieście;A - brak;A - racz. Codziennie;A - częściej;A - parę w tyg.;A - raczej nie;B - 1;A - 0;A - 0;A - nauka poza;A - tak;A - w ZK;A - TAK;B - NIE;B - NIE;E - zdecydowanie nie;E - zdecydowanie nie;E - bardzo zle;;2
R2;178A;B - TAK;B - TAK;D - 41 - 50;D - 41 - 50;E - pow. 6 lat;E - pow. 6 lat;A - zw. małżeński;D - 3;C - 30-100 km;D - zasadn. Zawodowe;B - parę w tyg.;B - tyle sam;B - parę w mc;E - trzy razy w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;B - nie;;B - NIE;B - NIE;A - TAK;B - raczej tak;C - trudno powiedzieć;E - bardzo zle;;2
R2;62§2, 57§2 UOPN;B - TAK;C - NIE;C - 31-40;B - 22-30;D - 2 lata i 1 mc - 6 lat;C - 1 rok i 1 mc - 2 lata;F - wolny;A -  0 ;D - pow. 100 km;B - podstawowe;A - racz. Codziennie;A - częściej;C - rzadziej;C - raz w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;B - NIE;B - NIE;B - NIE;B - raczej tak;E - zdecydowanie nie;D - raczej zle;;2
R2;;C - NIE;C - NIE;B - 22-30;B - 22-30;B - 7 mc - 1 rok;A - 1- 6 mc;F - wolny;A -  0 ;D - pow. 100 km;C - gimnazjalne;A - racz. Codziennie;B - tyle sam;C - rzadziej;A - raczej nie;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;B - NIE;B - NIE;B - NIE;E - zdecydowanie nie;E - zdecydowanie nie;E - bardzo zle;;2
R2;178a, 178b, 62§1 UOPN;C - NIE;B - TAK;B - 22-30;B - 22-30;D - 2 lata i 1 mc - 6 lat;A - 1- 6 mc;F - wolny;A -  0 ;C - 30-100 km;C - gimnazjalne;B - parę w tyg.;B - tyle sam;C - rzadziej;C - raz w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;B - poza ZK;A - TAK;B - NIE;B - NIE;D - raczej nie;D - raczej nie;C - trudno powiedzieć;;2
R2Z;62§1 UOPN;C - NIE;B - TAK;B - 22-30;B - 22-30;A - 1- 6 mc;A - 1- 6 mc;F - wolny;A -  0 ;C - 30-100 km;C - gimnazjalne;C - parę w mc.;C - rzadziej;C - rzadziej;A - raczej nie;A - 0;A - 0;A - 0;D - telewizja, radio..;B - nie;;B - NIE;B - NIE;B - NIE;D - raczej nie;E - zdecydowanie nie;D - raczej zle;;2
R2Z;279;A - WOLĘ NIE ODP.;B - TAK;D - 41 - 50;C - 31-40;D - 2 lata i 1 mc - 6 lat;C - 1 rok i 1 mc - 2 lata;B - rozwiedziony;B - 1;A - w mieście;A - brak;A - racz. Codziennie;B - tyle sam;B - parę w mc;D - dwa razy w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;A - TAK;A - TAK;B - NIE;B - raczej tak;D - raczej nie;A - bardzo dobrze;;2
R2;279§1;C - NIE;C - NIE;E - >51;E - >51;E - pow. 6 lat;A - 1- 6 mc;E - w związku partnerskim;B - 1;D - pow. 100 km;G - średnie;E - raczej nie;B - tyle sam;C - rzadziej;A - raczej nie;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;B - NIE;A - TAK;B - NIE;C - trudno powiedzieć;C - trudno powiedzieć;C - trudno powiedzieć;;2
R2P;279§1;B - TAK;B - TAK;C - 31-40;B - 22-30;C - 1 rok i 1 mc - 2 lata;A - 1- 6 mc;E - w związku partnerskim;E - 4;D - pow. 100 km;B - podstawowe;A - racz. Codziennie;B - tyle sam;C - rzadziej;B - raz na kilka mc;A - 0;A - 0;A - 0;D - telewizja, radio..;B - nie;;A - TAK;B - NIE;A - TAK;A - zdecydowanie tak;A - zdecydowanie tak;B - raczej dobrze;;2
R2Z;279§1;C - NIE;C - NIE;D - 41 - 50;B - 22-30;A - 1- 6 mc;A - 1- 6 mc;A - zw. małżeński;E - 4;A - w mieście;B - podstawowe;B - parę w tyg.;B - tyle sam;C - rzadziej;B - raz na kilka mc;C - 2;D - 3;C - 2;A - nauka poza;B - nie;B - poza ZK;A - TAK;A - TAK;B - NIE;D - raczej nie;B - raczej tak;C - trudno powiedzieć;;2
R2;178, 204;C - NIE;B - TAK;D - 41 - 50;C - 31-40;A - 1- 6 mc;A - 1- 6 mc;B - rozwiedziony;E - 4;C - 30-100 km;G - średnie;C - parę w mc.;B - tyle sam;B - parę w mc;B - raz na kilka mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;B - NIE;B - NIE;B - NIE;C - trudno powiedzieć;D - raczej nie;D - raczej zle;;2
R2;178;C - NIE;B - TAK;D - 41 - 50;C - 31-40;B - 7 mc - 1 rok;A - 1- 6 mc;B - rozwiedziony;E - 4;C - 30-100 km;G - średnie;C - parę w mc.;B - tyle sam;B - parę w mc;B - raz na kilka mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;B - NIE;B - NIE;B - NIE;B - raczej tak;D - raczej nie;D - raczej zle;;2
R2;278;B - TAK;B - TAK;C - 31-40;C - 31-40;B - 7 mc - 1 rok;A - 1- 6 mc;C - w separacji;A -  0 ;A - w mieście;B - podstawowe;D - rzadziej;C - rzadziej;D - raczej nie;A - raczej nie;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;B - NIE;B - NIE;B - NIE;E - zdecydowanie nie;E - zdecydowanie nie;E - bardzo zle;;2
R2;;A - WOLĘ NIE ODP.;C - NIE;C - 31-40;B - 22-30;A - 1- 6 mc;A - 1- 6 mc;F - wolny;B - 1;C - 30-100 km;B - podstawowe;C - parę w mc.;C - rzadziej;D - raczej nie;A - raczej nie;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;B - NIE;B - NIE;B - NIE;E - zdecydowanie nie;E - zdecydowanie nie;E - bardzo zle;;2
R2P;286§1;C - NIE;C - NIE;D - 41 - 50;D - 41 - 50;D - 2 lata i 1 mc - 6 lat;D - 2 lata i 1 mc - 6 lat;A - zw. małżeński;B - 1;C - 30-100 km;G - średnie;A - racz. Codziennie;B - tyle sam;C - rzadziej;F - min. raz w tyg.;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;B - NIE;B - NIE;B - NIE;D - raczej nie;B - raczej tak;D - raczej zle;;2
R2;;C - NIE;C - NIE;B - 22-30;B - 22-30;B - 7 mc - 1 rok;B - 7 mc - 1 rok;F - wolny;A -  0 ;C - 30-100 km;B - podstawowe;A - racz. Codziennie;B - tyle sam;D - raczej nie;C - raz w mc;A - 0;A - 0;A - 0;B - zatrudn;A - tak;A - w ZK;B - NIE;B - NIE;B - NIE;D - raczej nie;D - raczej nie;D - raczej zle;;2
R2P;209;C - NIE;C - NIE;B - 22-30;C - 31-40;B - 7 mc - 1 rok;B - 7 mc - 1 rok;F - wolny;B - 1;C - 30-100 km;D - zasadn. Zawodowe;C - parę w mc.;B - tyle sam;C - rzadziej;B - raz na kilka mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;A - TAK;B - NIE;B - NIE;C - trudno powiedzieć;B - raczej tak;A - bardzo dobrze;;2
R2P;;B - TAK;C - NIE;C - 31-40;B - 22-30;E - pow. 6 lat;B - 7 mc - 1 rok;F - wolny;B - 1;B - okolice zakł. Maks 30 km;C - gimnazjalne;A - racz. Codziennie;B - tyle sam;D - raczej nie;C - raz w mc;A - 0;A - 0;A - 0;B - zatrudn;A - tak;A - w ZK;A - TAK;A - TAK;B - NIE;B - raczej tak;B - raczej tak;B - raczej dobrze;;2
R2P;279§1;B - TAK;C - NIE;C - 31-40;C - 31-40;D - 2 lata i 1 mc - 6 lat;D - 2 lata i 1 mc - 6 lat;E - w związku partnerskim;B - 1;A - w mieście;C - gimnazjalne;A - racz. Codziennie;B - tyle sam;C - rzadziej;B - raz na kilka mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;A - TAK;B - NIE;A - TAK;B - raczej tak;C - trudno powiedzieć;B - raczej dobrze;;2
R2;;C - NIE;C - NIE;D - 41 - 50;D - 41 - 50;A - 1- 6 mc;A - 1- 6 mc;B - rozwiedziony;D - 3;C - 30-100 km;D - zasadn. Zawodowe;D - rzadziej;B - tyle sam;C - rzadziej;A - raczej nie;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A+B;B - NIE;B - NIE;B - NIE;E - zdecydowanie nie;A - zdecydowanie tak;A - bardzo dobrze;;2
R2;279§1;C - NIE;C - NIE;D - 41 - 50;D - 41 - 50;B - 7 mc - 1 rok;A - 1- 6 mc;E - w związku partnerskim;D - 3;B - okolice zakł. Maks 30 km;D - zasadn. Zawodowe;A - racz. Codziennie;B - tyle sam;D - raczej nie;E - trzy razy w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A+B;B - NIE;A - TAK;B - NIE;D - raczej nie;C - trudno powiedzieć;C - trudno powiedzieć;;2
R2D;;B - TAK;C - NIE;C - 31-40;C - 31-40;B - 7 mc - 1 rok;B - 7 mc - 1 rok;C - w separacji;A -  0 ;C - 30-100 km;A - brak;B - parę w tyg.;B - tyle sam;C - rzadziej;B - raz na kilka mc;A - 0;A - 0;A - 0;B - zatrudn;B - nie;;;;;;;;;2
